date,city,actual,observed,Naive (last value),Seasonal naive (weekly),Seasonal naive (annual),ARIMA,SARIMA,Holt-Winters,LSTM,XGBoost,Prophet
2020-06-28,Bengaluru,61.0,True,48.99999999999999,61.00000000000001,78.99999999999997,76.82072241163854,71.1643607168138,56.56311518833904,75.15780549814198,65.28192757746992,66.03168985393039
2020-06-29,Bengaluru,65.0,True,48.99999999999999,48.99999999999999,68.00000000000001,77.07540562821349,71.34513904281238,56.4271119711751,78.93554644447579,64.97363797271692,65.67103340500927
2020-06-30,Bengaluru,63.0,True,48.99999999999999,65.99999999999997,64.99999999999997,77.32456256776904,71.52278230845377,59.998384293572684,80.81928594984035,66.70773477931114,68.4243444770776
2020-07-01,Bengaluru,43.0,True,48.99999999999999,75.0,70.0,77.5682936029222,71.69739181474722,58.83398456815142,80.84854103600051,66.49031847303183,68.73980012420861
2020-06-02,Chennai,95.0,True,100.99999999999996,78.99999999999997,160.99999999999994,93.79883733779123,101.70455764840924,99.79016776440498,95.77891933065791,98.5577195263544,67.56509137903882
2020-06-03,Chennai,76.0,True,100.99999999999996,77.0,143.0,89.17167846123647,101.34308258122933,102.22489664230001,94.32648690597505,93.66379292060192,68.82345750136159
2020-06-04,Chennai,99.0,True,100.99999999999996,78.99999999999997,153.00000000000006,86.51482401338308,101.50933241494523,98.8421485422011,94.76300813042103,96.44698727000386,66.34131868492318
2020-06-05,Chennai,81.0,True,100.99999999999996,112.00000000000003,132.0,84.98560366062578,99.94520323612781,99.7379155965275,93.71566688303439,92.1836802102246,64.53463112965701
2020-06-06,Chennai,92.0,True,100.99999999999996,104.99999999999997,94.0,84.11798805237673,100.99863459896555,99.5593699059494,92.02754602124433,89.00283890541822,63.248205556676325
2020-06-07,Chennai,128.0,True,100.99999999999996,87.99999999999999,125.99999999999999,83.64453117284583,102.59426169086105,100.79386010941181,91.91724007686292,92.8951850677763,61.66633772035423
2020-06-08,Chennai,85.0,True,100.99999999999996,100.99999999999996,118.99999999999997,83.40807193173728,102.26449817731529,97.7482311432819,92.34705620963233,91.51183640272791,58.49090223372907
2020-06-09,Chennai,87.0,True,100.99999999999996,78.99999999999997,100.00000000000003,83.31486991248829,102.66180056122512,99.79016776440498,91.2677089898953,93.46998324790226,59.26901361335259
2020-06-10,Chennai,80.0,True,100.99999999999996,77.0,116.00000000000003,83.30849195213906,103.07783519130544,102.22489664230001,93.909841039478,94.31021688121645,60.77045744362222
2020-06-11,Chennai,106.0,True,100.99999999999996,78.99999999999997,118.99999999999997,83.35476958678356,103.39330510369739,98.8421485422011,91.56305814804496,93.62565796809564,59.099221930967126
2020-06-12,Chennai,169.0,True,100.99999999999996,112.00000000000003,109.99999999999997,83.4329422388169,103.64579819144099,99.7379155965275,91.74108741153931,94.26755127535924,58.12910441207721
2020-06-13,Chennai,112.0,True,100.99999999999996,104.99999999999997,91.00000000000001,83.5303689045673,103.84952958667432,99.5593699059494,91.38715123495176,93.64005267138313,57.716892905885445
2020-06-14,Chennai,80.0,True,100.99999999999996,87.99999999999999,89.0,83.63934261138483,104.01076619316669,100.79386010941181,90.72842261897787,94.25483253408837,57.10434508215662
2020-06-15,Chennai,79.0,True,100.99999999999996,100.99999999999996,87.00000000000003,83.75516099076654,104.1330360160879,97.7482311432819,91.22548909351389,92.70348517649415,55.034056626767075
2020-06-16,Chennai,86.0,True,100.99999999999996,78.99999999999997,80.00000000000003,83.87495370486269,104.21888737763622,99.79016776440498,90.38484572222109,93.07525427454868,56.7188653364981
2020-06-17,Chennai,96.0,True,100.99999999999996,77.0,107.99999999999997,83.99696835846882,104.27048512035266,102.22489664230001,90.24960915349057,92.8012988853509,59.179860188761474
